,Date,CapMrktCurUSD,PriceUSD,Number of Coins
730,2018-07-15,3348216299.80796,33.4821629980796,100000000.0
731,2018-07-16,3684567747.01736,36.845677470173605,99999999.99999999
732,2018-07-17,3929847339.43627,39.2984733943627,100000000.0
733,2018-07-18,3761782885.3848796,37.6178288538488,99999999.99999999
734,2018-07-19,3588915602.38427,35.8891560238427,100000000.0
735,2018-07-20,3315313091.8358603,33.153130918358606,99999999.99999999
736,2018-07-21,3420877531.7012897,34.20877531701289,100000000.00000001
737,2018-07-22,3317825720.57131,33.1782572057131,100000000.0
738,2018-07-23,3219371110.17899,32.1937111017899,99999999.99999999
739,2018-07-24,3395193656.6016,33.951936566016,100000000.0
740,2018-07-25,3421821741.75848,34.2182174175848,99999999.99999999
741,2018-07-26,3306801149.14184,33.0680114914184,99999999.99999999
742,2018-07-27,3342014370.8341603,33.420143708341605,100000000.0
743,2018-07-28,3361693596.77442,33.6169359677442,100000000.0
744,2018-07-29,3342780445.18427,33.4278044518427,100000000.0
745,2018-07-30,3194752484.86504,31.9475248486504,100000000.0
746,2018-07-31,2963081031.80208,29.630810318020803,100000000.0
747,2018-08-01,2960461041.63348,29.6046104163348,100000000.0
748,2018-08-02,2818028434.3608103,28.180284343608104,100000000.0
749,2018-08-03,2785446448.59762,27.8544644859762,100000000.0
750,2018-08-04,2670706779.85987,26.7070677985987,100000000.0
751,2018-08-05,2748880363.6574697,27.488803636574698,100000000.0
752,2018-08-06,2611991158.26617,26.1199115826617,100000000.0
753,2018-08-07,2515940365.83432,25.1594036583432,100000000.0
754,2018-08-08,2166225245.9205604,21.662252459205604,100000000.0
755,2018-08-09,2258843632.8398104,22.588436328398103,100000000.0
756,2018-08-10,1972229501.1661801,19.722295011661803,99999999.99999999
757,2018-08-11,1875116757.77574,18.7511675777574,100000000.0
758,2018-08-12,1841115126.7451801,18.4111512674518,100000000.00000001
759,2018-08-13,1588052507.37607,15.880525073760701,100000000.0
760,2018-08-14,1562909740.18899,15.6290974018899,100000000.0
761,2018-08-15,1574461142.9263802,15.744611429263802,100000000.0
762,2018-08-16,1591191231.76898,15.9119123176898,100000000.0
763,2018-08-17,2036698176.0550601,20.3669817605506,100000000.0
764,2018-08-18,1871127184.7305102,18.711271847305103,100000000.0
765,2018-08-19,1946671985.13864,19.4667198513864,99999999.99999999
766,2018-08-20,1724349438.22814,17.2434943822814,100000000.0
767,2018-08-21,1783699799.40316,17.836997994031602,100000000.0
768,2018-08-22,1660231978.10934,16.6023197810934,100000000.0
769,2018-08-23,1764797022.6862,17.647970226862,100000000.0
770,2018-08-24,1778740516.8074698,17.7874051680747,100000000.0
771,2018-08-25,1769338995.67238,17.6933899567238,100000000.0
772,2018-08-26,1740541268.77509,17.4054126877509,100000000.0
773,2018-08-27,2040455712.55265,20.404557125526498,100000000.00000001
774,2018-08-28,2142037738.56277,21.4203773856277,100000000.0
775,2018-08-29,1986796373.56643,19.8679637356643,100000000.0
776,2018-08-30,1941375580.67876,19.413755806787602,99999999.99999999
777,2018-08-31,2015582728.6307898,20.155827286307897,100000000.0
778,2018-09-01,2250433503.60468,22.5043350360468,100000000.0
779,2018-09-02,2196495891.22945,21.964958912294502,100000000.0
780,2018-09-03,2287642957.56202,22.876429575620197,100000000.0
781,2018-09-04,2425151563.9721103,24.251515639721102,100000000.0
782,2018-09-05,1978233902.64861,19.782339026486103,100000000.0
783,2018-09-06,2028234277.72733,20.2823427772733,100000000.0
784,2018-09-07,1946618066.16459,19.4661806616459,99999999.99999999
785,2018-09-08,1790280989.50822,17.9028098950822,100000000.0
786,2018-09-09,1838048431.0632102,18.380484310632102,100000000.0
787,2018-09-10,1844378571.3834,18.443785713834,100000000.0
788,2018-09-11,1763230278.41272,17.632302784127198,100000000.00000001
789,2018-09-12,1757209631.16162,17.5720963116162,100000000.0
790,2018-09-13,1825566173.16097,18.2556617316097,100000000.0
791,2018-09-14,1784416113.8932898,17.844161138932897,100000000.0
792,2018-09-15,1815910099.5345898,18.1591009953459,100000000.0
793,2018-09-16,1790832834.5437398,17.908328345437397,100000000.0
794,2018-09-17,1661253668.34632,16.612536683463198,100000000.00000001
795,2018-09-18,1691658077.48898,16.916580774889802,99999999.99999999
796,2018-09-19,1707215438.35337,17.0721543835337,100000000.0
797,2018-09-20,1826935687.9777899,18.2693568797779,100000000.0
798,2018-09-21,1970659027.42645,19.7065902742645,100000000.0
799,2018-09-22,1881417339.95321,18.814173399532102,100000000.0
800,2018-09-23,1963083215.43561,19.6308321543561,100000000.0
801,2018-09-24,1838240122.4344301,18.382401224344303,99999999.99999999
802,2018-09-25,1800553618.40444,18.0055361840444,100000000.0
803,2018-09-26,1780927143.56822,17.8092714356822,100000000.0
804,2018-09-27,1901703790.01695,19.0170379001695,100000000.0
805,2018-09-28,1921337699.44132,19.2133769944132,100000000.0
806,2018-09-29,1914418792.4942698,19.1441879249427,100000000.0
807,2018-09-30,1883975043.8022199,18.8397504380222,99999999.99999999
808,2018-10-01,1856375433.85412,18.5637543385412,99999999.99999999
809,2018-10-02,1841711914.68114,18.417119146811398,100000000.0
810,2018-10-03,1787909281.0966802,17.879092810966803,99999999.99999999
811,2018-10-04,1787721146.2526603,17.877211462526603,100000000.0
812,2018-10-05,1809060596.8136399,18.090605968136398,100000000.0
813,2018-10-06,1782026190.43511,17.8202619043511,100000000.00000001
814,2018-10-07,1804023047.3138301,18.0402304731383,100000000.0
