,Date,CapMrktCurUSD,PriceUSD,Number of Coins
365,8/1/2018,13225098755.0,765.7962344,17269735.944003228
366,8/2/2018,12641957631.0,731.9591214,17271398.444792986
367,8/3/2018,12524716837.0,725.0948812,17273210.94347287
368,8/4/2018,12024888006.0,696.080155,17275148.44321341
369,8/5/2018,12257983339.0,709.4998429,17276935.945322957
370,8/6/2018,11945760441.0,691.3506532,17278873.44245298
371,8/7/2018,11366604915.0,657.770187,17280510.943862528
372,8/8/2018,10089120608.0,583.7843407,17282273.443481557
373,8/9/2018,10578222764.0,612.0240521000001,17283998.443694495
374,8/10/2018,9839164682.0,569.2022216,17285885.944616627
375,8/11/2018,9836828568.0,569.0082357999999,17287673.444954384
376,8/12/2018,9879855485.0,571.4400947,17289398.44549553
377,8/13/2018,9190581550.0,531.5136771000001,17291335.944814954
378,8/14/2018,8713448414.0,503.87036969999997,17293035.943327866
379,8/15/2018,8804181478.0,509.06638760000004,17294760.94367068
380,8/16/2018,8920695376.0,515.7470481,17296648.442029152
381,8/17/2018,10258858512.0,593.0486471,17298510.94369017
382,8/18/2018,9637506165.0,557.0712686,17300310.944451388
383,8/19/2018,9906581918.0,572.5686515,17301998.445159376
384,8/20/2018,8904678947.0,514.6109396,17303710.943108756
385,8/21/2018,9273553569.0,535.8682109,17305660.944926936
386,8/22/2018,8975521374.0,518.5937353999999,17307423.444051117
387,8/23/2018,9167997951.0,529.6608391,17309185.94355261
388,8/24/2018,9236418367.0,533.5566512,17311035.94384356
389,8/25/2018,9300182509.0,537.1865607999999,17312760.943143833
390,8/26/2018,9043463536.0,522.3077186,17314435.94255166
391,8/27/2018,9441833289.0,545.2558392999999,17316335.944464963
392,8/28/2018,9836933703.0,568.0138344,17318123.44569191
393,8/29/2018,9609450163.0,554.8225932,17319860.94433618
394,8/30/2018,9310871179.0,537.5276198,17321660.94546794
395,8/31/2018,9413471386.0,543.3932076,17323498.443376567
396,9/1/2018,10646301972.0,614.4874854,17325498.443747476
397,9/2/2018,11231143295.0,648.1753129,17327323.44394723
398,9/3/2018,10871901674.0,627.3788306,17329085.942543756
399,9/4/2018,10838109914.0,625.3688321000001,17330748.444250774
400,9/5/2018,9195933483.0,530.5506137,17332810.943085335
401,9/6/2018,8970013080.0,517.4775394,17334110.945956163
402,9/7/2018,8626679011.0,497.6132789,17336110.94557147
403,9/8/2018,8212092533.0,473.6518722,17337823.441627685
404,9/9/2018,8312758550.0,479.40755989999997,17339648.443870943
405,9/10/2018,8059665639.0,464.76144230000006,17341510.9461631
406,9/11/2018,7623145866.0,439.5451288,17343260.94526838
407,9/12/2018,7475611755.0,430.9943075,17345035.943427164
408,9/13/2018,8100740646.0,466.9866408,17346835.944005877
409,9/14/2018,7800307005.0,449.623683,17348523.44288101
410,9/15/2018,7824114061.0,450.9485263,17350348.44263998
411,9/16/2018,7810464484.0,450.11220779999996,17352260.944387566
412,9/17/2018,7267893098.0,418.804333,17353910.94437411
413,9/18/2018,7553154572.0,435.19707120000004,17355710.945326783
414,9/19/2018,7426153577.0,427.83454989999996,17357535.94172269
415,9/20/2018,7932783006.0,456.97436849999997,17359360.94630218
416,9/21/2018,8662292068.0,498.9455132,17361198.445185255
417,9/22/2018,8418500629.0,484.85292769999995,17362998.443538122
418,9/23/2018,8547644900.0,492.23838190000004,17364848.443972994
419,9/24/2018,8000895547.0,460.7062996,17366585.944118053
420,9/25/2018,7717112965.0,444.32240139999993,17368273.44442778
421,9/26/2018,8943128948.0,514.8536253000001,17370235.94383535
422,9/27/2018,9817155542.0,565.1113307999999,17372073.44277161
423,9/28/2018,9356850811.0,538.5598691,17373835.942578588
424,9/29/2018,9342277622.0,537.6634299,17375698.443425044
425,9/30/2018,9194155130.0,529.0850694000001,17377460.944846686
426,10/1/2018,9219439791.0,530.4870543999999,17379198.445148714
427,10/2/2018,9248724985.0,532.1173962,17380985.94604827
428,10/3/2018,8934064704.0,513.9608321000001,17382773.445003923
429,10/4/2018,8904090155.0,512.1812031000001,17384648.442987733
430,10/5/2018,9003074138.0,517.8191124,17386523.444977425
431,10/6/2018,8818909935.0,507.17388739999996,17388335.94176087
432,10/7/2018,8980493325.0,516.4152877,17390060.943000235
433,10/8/2018,9147935073.0,525.9913230000001,17391798.44417319
434,10/9/2018,8978041943.0,516.1704364,17393560.943971954
435,10/10/2018,8861854389.0,509.43450419999994,17395473.44347313
436,10/11/2018,7485708042.0,430.28362180000005,17397148.44521651
437,10/12/2018,7633785009.0,438.7523136,17398848.44449969
438,10/13/2018,7730047649.0,444.2368228,17400735.94142408
439,10/14/2018,7549076292.0,433.7911137,17402560.941395327
440,10/15/2018,7797607268.0,448.0276693,17404298.4447434
