,Date,CapMrktCurUSD,PriceUSD,Number of Coins
0,2019-04-18,4393534538.3030205,21.9676726915151,200000000.0
1,2019-04-19,4865168460.760779,24.325842303803896,200000000.0
2,2019-04-20,4986854146.277921,24.934270731389603,200000000.0
3,2019-04-21,4839555146.92434,24.1977757346217,200000000.0
4,2019-04-22,4776442486.729079,23.882212433645396,200000000.0
5,2019-04-23,4559480128.34512,22.797400641725602,200000000.0
6,2019-04-24,4612294509.7463,23.061472548731498,200000000.0
7,2019-04-25,4384902823.78848,21.924514118942398,200000000.0
8,2019-04-26,4476001556.75554,22.3800077837777,200000000.0
9,2019-04-27,4382876227.44826,21.9143811372413,200000000.00000003
10,2019-04-28,4211419865.7822337,22.3600648014188,188345601.99999997
11,2019-04-29,4023384418.0488896,21.361711530959397,188345602.00000003
12,2019-04-30,4106539487.3865695,21.8032141116126,188345601.99999997
13,2019-05-01,4070088523.926002,21.609681780230797,188345602.00000003
14,2019-05-02,4355303634.201536,23.123999647209896,188345602.00000003
15,2019-05-03,4392674265.9277525,23.3224148548356,188345601.99999994
16,2019-05-04,4264730098.3891506,22.643109544916,188345602.00000003
17,2019-05-05,4283716364.3162003,22.743915009580103,188345602.0
18,2019-05-06,4139282216.883695,21.9770579877076,188345601.99999994
19,2019-05-07,3944465324.6770387,20.9426993929863,188345601.99999997
20,2019-05-08,3860150922.529648,20.4950414638811,188345602.00000003
21,2019-05-09,3513281741.096697,18.653378171775397,188345602.0
22,2019-05-10,3669694979.274913,19.4838368419928,188345602.0
23,2019-05-11,4060420984.0822287,21.558353053989702,188345602.0
24,2019-05-12,3917087197.0282545,20.797338273012898,188345602.0
25,2019-05-13,4414619589.461715,23.4389311063484,188345601.99999997
26,2019-05-14,4441394742.183656,23.5810907980939,188345602.0
27,2019-05-15,5083532808.419403,26.9904513534614,188345602.00000003
28,2019-05-16,4954990185.057646,26.3079686089917,188345602.00000006
29,2019-05-17,4813021644.38437,25.5542024516419,188345602.00000003
30,2019-05-18,5434353095.052199,28.8530925986379,188345602.0
31,2019-05-19,5534522454.233944,29.3849306565382,188345602.00000006
32,2019-05-20,5529573083.270721,29.3586525225618,188345602.0
33,2019-05-21,6124298038.093852,32.5162784427207,188345602.0
34,2019-05-22,5903605620.048857,31.344536625011603,188345601.99999994
35,2019-05-23,5967934318.989704,31.6860826885127,188345602.00000006
36,2019-05-24,6420676235.455892,34.0898654774848,188345602.0
37,2019-05-25,6639813358.1090355,35.253349627505706,188345601.99999994
38,2019-05-26,6367477451.35539,33.8074124574217,188345602.0
39,2019-05-27,6355415747.576976,33.743372184379304,188345602.00000003
40,2019-05-28,6238825713.9776535,33.1243503842349,188345602.0
41,2019-05-29,6334311073.915942,33.631319269753604,188345601.99999997
42,2019-05-30,5976530842.717557,31.731724973952698,188345602.00000006
43,2019-05-31,6188075109.279192,32.854895700082196,188345601.99999997
44,2019-06-01,6213436006.812294,32.9895465613914,188345602.00000003
45,2019-06-02,6260240378.344946,33.2380491599955,188345602.0
46,2019-06-03,5811598720.942341,30.856036239924197,188345602.00000006
47,2019-06-04,5475892592.747213,29.0736419358877,188345601.99999997
48,2019-06-05,5834869150.836938,30.979587996097397,188345602.0
49,2019-06-06,5879034037.96294,31.2140765461725,188345602.0
50,2019-06-07,5948116936.02128,31.580864500469104,188345601.9999999
51,2019-06-08,6003783312.477551,31.876418927358603,188345602.00000003
52,2019-06-09,5692029813.166838,30.2211984390633,188345602.0
53,2019-06-10,6039862321.611694,32.0679764086644,188345602.0
54,2019-06-11,6035858058.496004,32.046716219559,188345602.0
55,2019-06-12,6582339408.077259,34.9481980900051,188345601.99999994
56,2019-06-13,6598000694.510329,35.0313499463095,188345601.99999997
57,2019-06-14,6142543652.096421,32.6131514984694,188345602.0
58,2019-06-15,6196024640.944471,32.8971028532138,188345602.0
59,2019-06-16,6090611933.531803,32.337425821771,188345602.0
60,2019-06-17,6376395511.076434,33.8547619024119,188345601.99999997
61,2019-06-18,6463372574.802731,34.3165569366612,188345602.00000003
62,2019-06-19,6637400181.471802,35.24053713487721,188345601.99999997
63,2019-06-20,6916627819.132606,36.7230651827623,188345602.00000003
64,2019-06-21,7294824724.586535,38.7310595369598,188345602.00000003
65,2019-06-22,7128637079.262985,37.8487047404642,188345602.00000006
66,2019-06-23,6988479300.0258045,37.104552619316294,188345602.0
67,2019-06-24,7036538431.633129,37.3597172268091,188345601.99999994
68,2019-06-25,6763114789.147844,35.9080048449862,188345602.00000003
69,2019-06-26,6674767601.086558,35.438935288154795,188345602.0
70,2019-06-27,6334659974.277971,33.633171717372896,188345601.99999997
71,2019-06-28,6469001667.763273,34.3464439788898,188345601.99999994
72,2019-06-29,6679326122.340484,35.463138249124,188345601.99999994
73,2019-06-30,6032904015.362282,32.0310320564973,188345601.99999997
74,2019-07-01,6242880488.415418,33.14587875758,188345602.0
75,2019-07-02,5993641560.195876,31.822572422985896,188345601.99999997
76,2019-07-03,6138809267.879877,32.5933242013258,188345602.0
77,2019-07-04,6222292468.252771,33.0365689571704,188345602.0
78,2019-07-05,6152357293.500718,32.6652559346765,188345602.0
79,2019-07-06,6128171758.97955,32.536845532392896,188345602.0
80,2019-07-07,6234013183.319976,33.098798788622496,188345602.00000003
81,2019-07-08,6311264195.949233,33.5089544376472,188345602.0
82,2019-07-09,6138261429.662766,32.590415515318305,188345602.0
83,2019-07-10,5873437560.747049,31.184362673608103,188345602.00000006
84,2019-07-11,5511897980.668567,29.264808533562498,188345602.00000003
85,2019-07-12,5993652190.895696,31.9598871869728,187536713.0
